Function,Utterance
matplotlib.collections.RegularPolyCollection.set_dashes,alias for set_linestyle
matplotlib.collections.RegularPolyCollection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.RegularPolyCollection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.RegularPolyCollection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.RegularPolyCollection.set_facecolors,alias for set_facecolor
matplotlib.collections.RegularPolyCollection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.RegularPolyCollection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.RegularPolyCollection.set_hatch,Set the hatching pattern
matplotlib.collections.RegularPolyCollection.set_label,Set the label to s for auto legend .
matplotlib.collections.RegularPolyCollection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.RegularPolyCollection.set_linestyles,alias for set_linestyle
matplotlib.collections.RegularPolyCollection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.RegularPolyCollection.set_linewidths,alias for set_linewidth
matplotlib.collections.RegularPolyCollection.set_lw,alias for set_linewidth
matplotlib.collections.RegularPolyCollection.set_norm,set the normalization instance
matplotlib.collections.RegularPolyCollection.set_offset_position,Set how offsets are applied .
matplotlib.collections.RegularPolyCollection.set_offsets,Set the offsets for the collection .
matplotlib.collections.RegularPolyCollection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.RegularPolyCollection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.RegularPolyCollection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.RegularPolyCollection.set_sizes,Set the sizes of each member of the collection .
matplotlib.collections.RegularPolyCollection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.RegularPolyCollection.set_snap,Sets the snap setting which may be
matplotlib.collections.RegularPolyCollection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.RegularPolyCollection.set_url,Sets the url for the artist
matplotlib.collections.RegularPolyCollection.set_visible,Set the artist 's visiblity .
matplotlib.collections.RegularPolyCollection.set_zorder,Set the zorder for the artist .
matplotlib.collections.RegularPolyCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.RegularPolyCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.RegularPolyCollection.update_from,copy properties from other to self
matplotlib.collections.RegularPolyCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.StarPolygonCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.StarPolygonCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.StarPolygonCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.StarPolygonCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.StarPolygonCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.StarPolygonCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.StarPolygonCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.StarPolygonCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.StarPolygonCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.StarPolygonCollection.findobj,Find artist objects .
matplotlib.collections.StarPolygonCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.StarPolygonCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.StarPolygonCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.StarPolygonCollection.get_animated,Return the artist 's animated state
matplotlib.collections.StarPolygonCollection.get_array,Return the array
matplotlib.collections.StarPolygonCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.StarPolygonCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.StarPolygonCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.StarPolygonCollection.get_clip_box,Return artist clipbox
matplotlib.collections.StarPolygonCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.StarPolygonCollection.get_clip_path,Return artist clip path
matplotlib.collections.StarPolygonCollection.get_cmap,return the colormap
matplotlib.collections.StarPolygonCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.StarPolygonCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.StarPolygonCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.StarPolygonCollection.get_fill,return whether fill is set
matplotlib.collections.StarPolygonCollection.get_gid,Returns the group id
matplotlib.collections.StarPolygonCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.StarPolygonCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.StarPolygonCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.StarPolygonCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.StarPolygonCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.StarPolygonCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.StarPolygonCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.StarPolygonCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.StarPolygonCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.StarPolygonCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.StarPolygonCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.StarPolygonCollection.get_url,Returns the url
matplotlib.collections.StarPolygonCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.StarPolygonCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.StarPolygonCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.StarPolygonCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.StarPolygonCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.StarPolygonCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.StarPolygonCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.StarPolygonCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.StarPolygonCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.StarPolygonCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.StarPolygonCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.StarPolygonCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.StarPolygonCollection.set,A property batch setter .
